base_feature,tuned_feature,decoder_cosine,base_frequency,tuned_frequency,frequency_delta,frequency_delta_abs,base_mean_activation,tuned_mean_activation,mean_activation_delta,category
2011,2011,0.9860971,0.97044,0.01117,-0.95927,0.95927,0.19076768,0.00035337638,-0.1904143,frequency_shifted
2851,2851,0.98610926,0.00077,0.97011995,0.96935,0.96935,2.2576749e-05,0.17265393,0.17263135,frequency_shifted
1070,1070,0.98619723,0.97884995,0.00885,-0.96999997,0.96999997,0.20751327,0.00016977295,-0.2073435,frequency_shifted
5806,5806,0.9862812,0.00154,0.96724,0.9657,0.9657,6.714506e-05,0.13369446,0.13362731,frequency_shifted
4221,4221,0.986358,0.97036,0.01134,-0.95901996,0.95901996,0.15628953,0.00028063683,-0.1560089,frequency_shifted
2855,2855,0.98635864,0.01816,0.97058,0.95242,0.95242,0.0008135246,0.1714166,0.17060307,frequency_shifted
2767,2767,0.98642516,0.011419999,0.96746,0.95603997,0.95603997,0.00070007157,0.14902698,0.1483269,frequency_shifted
202,202,0.9864951,0.0089,0.96801996,0.95912,0.95912,0.00073836936,0.1542707,0.15353233,frequency_shifted
1414,1414,0.98652565,0.96996,0.01574,-0.95422,0.95422,0.18365863,0.0016255563,-0.18203308,frequency_shifted
5313,5313,0.98664606,0.96958995,0.00117,-0.96841997,0.96841997,0.16831402,3.2412703e-05,-0.16828161,frequency_shifted
3694,3694,0.98671216,0.0012899999,0.97012997,0.96883994,0.96883994,2.9494604e-05,0.18029329,0.1802638,frequency_shifted
1447,1447,0.98673975,0.016579999,0.96568996,0.94911,0.94911,0.0017096036,0.12646094,0.12475134,frequency_shifted
5516,5516,0.98681056,0.96891,0.01708,-0.95182997,0.95182997,0.17550008,0.00036269857,-0.17513739,frequency_shifted
3804,3804,0.9868771,0.97012997,0.01574,-0.95439,0.95439,0.17599913,0.0012859036,-0.17471322,frequency_shifted
5688,5688,0.9869634,0.0088599995,0.96949,0.96063,0.96063,0.00014093684,0.18814477,0.18800384,frequency_shifted
6083,6083,0.9870122,0.96857,0.01504,-0.95353,0.95353,0.15842596,0.000910036,-0.15751593,frequency_shifted
5658,5658,0.987175,0.01668,0.98192,0.96524,0.96524,0.004455015,0.15252693,0.14807191,frequency_shifted
3327,3327,0.98717713,0.01719,0.97098,0.95379,0.95379,0.0023288017,0.19618788,0.19385909,frequency_shifted
2929,2929,0.9872578,0.00987,0.97503996,0.96516997,0.96516997,0.00079181563,0.17565328,0.17486146,frequency_shifted
1893,1893,0.9873271,0.96786,0.00816,-0.9597,0.9597,0.16202989,0.00011529409,-0.1619146,frequency_shifted
4029,4029,0.9873681,0.00813,0.96945,0.96132,0.96132,8.1846505e-05,0.17492922,0.17484736,frequency_shifted
2900,2900,0.98740685,0.01385,0.96892,0.95507,0.95507,0.0010547555,0.15553294,0.15447819,frequency_shifted
4737,4737,0.9874103,0.00074,0.97134,0.9706,0.9706,2.039033e-05,0.1990026,0.19898221,frequency_shifted
2586,2586,0.9874252,0.00131,0.96965,0.96834,0.96834,3.6520836e-05,0.16085693,0.16082041,frequency_shifted
2811,2811,0.98747057,0.97683996,0.01757,-0.95926994,0.95926994,0.1702965,0.0036868318,-0.16660967,frequency_shifted
3706,3706,0.98748857,0.01017,0.97275996,0.96259,0.96259,0.00018570076,0.2044409,0.20425521,frequency_shifted
6123,6123,0.9876311,0.98178,0.012519999,-0.96926,0.96926,0.18152161,0.0016401446,-0.17988147,frequency_shifted
2934,2934,0.9876622,0.00647,0.96987,0.96339995,0.96339995,8.540302e-05,0.15382846,0.15374306,frequency_shifted
172,172,0.9878299,0.01742,0.974,0.95658,0.95658,0.003717426,0.15379159,0.15007417,frequency_shifted
2681,2681,0.9878731,0.00121,0.96998,0.96877,0.96877,4.209899e-05,0.18128742,0.18124533,frequency_shifted
